,SAN,BTO_1,BKIA_0,BKIA,NTGY,TRE,ACX_0,ACX,FER,ACS,ELE_0,ELE,SAB,CRI,OHL,IBR,EBRO_0,EBRO_1,AMS,AENA,ITX,MTS,IAG,VIS_0,VIS,IBLA,BBVA,MAP,BME,CIE,MAS,IBE,ABG,ENG,SCYR_1,REP,ABE,ABG.P_0,ABG.P_1,ANA_0,ANA,EVA,GRF,CLNX,MRL,BKT,POP,ENC,IDR,SGRE_0,SGRE,MEL,TL5,REE,COL,JAZ,TEF,FCC,CABK,DIA,ALM,REE_0,CIN,LOR,UNF,ZEL,NHH_0,NHH_1,MAP_0,ALT,BTO_0,FAD,DRC,PRS_1,SCYR_0,TEM,CAR,AGS,COL_0,A3TV,SGC,PHM,SLR,FDR,ROVI
2012-06-27,2.6691893831,,34.789884207,,5.8033336359,24.106591468,5.8195823764,,5.4872620068,9.0387992016,4.2903995614,,1.0150383078,,7.4778472641,,,,13.674322135,,12.492768698,24.825591049,1.0338047141,,,,3.0253903132,0.8145864215,9.0994334769,,,2.0569953346,1.7279,7.0857909953,1.0053043326,5.3436908038,6.2405753559,,,33.134281471,,,8.5420178571,,,1.2011051484,4.0381,,5.8427,1.0724122852,,,2.8844462592,4.9482046804,,,5.3214632977,5.7249643021,1.5355045866,0.8170161140000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-28,2.689099384,,33.451565451,,5.8374030549,24.437937567,5.8978360306,,5.5214129018,9.2697198751,4.3373184995,,0.9950624598000001,,7.6204915835,,,,13.537395654000001,,12.446702962,24.630343623999998,1.0163166597,,,,3.0720873117,0.8071649972,9.1356021414,,,2.1019065758,1.7208999999999999,7.2866494737,1.0126227335,5.5078167527,6.3234796818,,,33.599234797,,,8.4551253329,,,1.2190224541,3.9337,,5.9613,1.0566196295,,,2.9214165105000003,4.9809939881,,,5.3760006959,5.7373632098,1.5486245045,0.8215785455,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-29,2.874067197,,34.343884681,,6.172896386,25.638206717,6.342375977,,5.710905755,9.8748912903,4.4932549701,,1.0271398587,,8.0190565937,,,,14.2813284,,12.981582099,26.301554435,1.0465134246,,,,3.3488635257,0.8965625208,9.5786682955,,,2.1939216946,1.8089,7.5931395279,1.0692996825,5.9250405464,6.6484537189,,,36.196891721,,,8.4721139354,,,1.3073176451,4.1452,,6.2586,1.1142504207,,,3.0765382327,5.128545875,,,5.654021418,6.2185148515,1.6157257703,0.8436827396000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,2.8899171192,,35.124143726,,6.1942274603,25.782484595,6.4833021907,,5.7573055462,9.5913567243,4.575133117,,1.034599719,,8.0706513476,,,,14.195714107,,12.954545388,26.322984031,1.0417340805,,,,3.3525720394,0.8962220885000001,9.7655397338,,,2.1933924376,1.8342,7.6538449556,1.1038587978,5.9883150076,6.6515478431,,,36.381352625,,,8.7305634945,,,1.3062684333,4.1149000000000004,,6.2441,1.1546002431,,,3.0838641351,5.4017138345,,,5.6730895058,6.3541626027,1.6398316434,0.8609360726,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,2.9284097878,,33.934704927,,6.1483995689,26.269736382,6.5473674737,,5.753979687,9.7346123786,4.5649366811,,1.0285489435,,8.3953947982,,,,13.982007304,,13.125031658,27.863533836,1.0496634469,,,,3.4449064613,0.9051414148,9.9946079508,,,2.2128237322,1.8185,7.6962216145,1.1509405099,6.1827651794,6.7171614753,,,36.888510887,,,9.0568746293,,,1.3078826049,4.0638,,6.2612,1.1846972416,,,3.1192158729,5.4648963357,,,5.7386277241,6.6348960798,1.6315329001,0.8620635701,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,2.9202896306,,34.64100425,,6.1392038406000005,25.860530461,6.4127955612,,5.8318534622,9.6996356729,4.5682332731,,1.0298751408,,8.3436215158,,,,14.003434371,,13.026270166,27.885261065,1.0565609094,,,,3.4114541541,0.9122904933,10.247788611,,,2.1931656132,1.8309000000000002,7.6882286193,1.1986727468,6.2483530349,6.7921484836,,,36.523433834,,,9.1374544487,,,1.3029593814,4.0591,,6.5145,1.1641089102,,,3.1561861242,5.3837731242,,,5.7113590249,6.6534019122,1.6657553361000002,0.8614080483000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,2.8052020173,,33.749325367,,6.0328499673,25.669462273,6.3360216758,,5.7027127849,9.304770998,4.4545391798,,1.0064180249,,8.3338917093,,,,13.823935692,,12.803346457,26.952180763,1.0369547364,,,,3.2472956617,0.9167161133,9.9162425091,,,2.116498949,1.8203,7.5733637534,1.1082498381,6.0515269443,6.6640153432,,,35.182400437,,,9.1097899485,,,1.251063762,3.9404,,6.4298,1.1506314081,,,3.0146939876,5.2550680294,,,5.5640147093,6.45603721,1.6082173837,0.8672815234,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,2.6967510708,,31.556147504,,5.9687813692,25.131792297,6.2446241932,,5.5343107459,8.991989953000001,4.374730986,,0.9723513301000001,,8.0190565937,,,,13.648572061,,12.685469841,26.333996462,1.0607971462,,,,3.0823803291,0.8770217063,9.7263570145,,,2.056692902,1.7437,7.5760510538,1.0061174883,5.7515359716,6.4705415815,,,34.467712737,,,9.0356156677,,,1.2011051484,3.7803,,5.9891000000000005,1.1056512782,,,2.9157943064,5.2176265474,,,5.3841346355,6.0691727842,1.5412741889000001,0.8461737223,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,2.6509971078,,30.998407965,,5.932073831,25.47448714,6.1758584682,,5.5028367621,8.9657946342,4.3814008352,,0.9614102018,,8.1026972241,,,,13.648572061,,12.569315309,25.82415067,1.068237716,,,,3.0403000518,0.8652427486000001,9.6540196825,,,2.0368835666,1.7699,7.5375330811,0.9854633346,5.8358810783,6.5080350855999995,,,34.433109933,,,8.931827375,,,1.1795559561,3.7662,,5.9702,1.0842361061,,,2.8973943658,5.1084222238,,,5.3677334131,6.0994298202,1.5340029095,0.8340859009,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,2.6383484013,,31.109827803,,5.9273252172,26.152807115,6.2058890695,,5.5973398328,9.1586874423,4.3781042431,,0.9667978786,,8.1174258303,,,,13.768112542,,12.728435824,26.344711259,1.0714420489,,,,3.0655028079,0.8848516495000001,9.6208650738,,,2.0448980306,1.8203,7.6451629073,0.9993682963,5.953113899,6.5984927146,,,34.41781829,,,9.1204658463,,,1.206593332,3.7545,,5.926,1.1422803178,,,2.9713348681,5.2519479057,,,5.4075363798,6.2092619353,1.5449888646,0.8513916756000001,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,2.6841023641,,28.694130432,,6.0237296141,25.952343656,6.2255612896,,5.6468221273,9.1323432856,4.4425794504,,0.9723513301000001,,8.1518818424,,,,13.742550428,,12.865341463,26.388165717,1.0634583718,,,,3.1370998268,0.8781791761000001,9.6148369607,,,2.0815679836,1.7964,7.7608546345,0.9876588551000001,6.0375215301,6.5734667106,,,34.583055416,,,9.2243469729,,,1.2348413362,3.7525,,6.0126,1.1333504391,,,2.8538648763000003,5.2488277823,,,5.4985431628,6.2061159438,1.5481502905,0.8441022735,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,2.631165185,,26.018133265,,5.846674158,25.836809727,6.1086595571,,5.5708951965,8.891971461,4.3203755496,,0.9534530176,,7.8936402803,,,,13.810966679,,12.65843313,26.116724174,1.0338047141,,,,3.0575559929,0.8491062573,9.5967526281,,,1.9608217676000002,1.7628,7.6533626195,0.9478955436000001,5.8288783712,6.4859211984,,,32.596365163,,,9.0992997184,,,1.2255598494,3.6432,,5.7471,1.0942408778,,,2.8330797581000002,5.2971896968,,,5.3214632977,6.1258931604,1.5248347741,0.8525716148,,,,,,,,,,,,,,,,,,,,,,,,,
